,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission Name,Collect XP,Mission Tyoe,Notes,Special Starting Point,,,,User Type ,AI Meal Check In,Points,Daily Mission ,Points,Maps,Points,Total ,Convert to Gem,,,Pet Phases,Level ,XP,Accumulated,,Pet Phases,Level ,XP,Accumulated
,,,,,,,,70% Active User (6/8),3 meals,+70XP,1 Completed,+15XP,2 Reviews/ per day,+30~40XP,115~125XP,15~25 Gems,,,Baby,11,60,460,,Baby,11,60,460
How Do Get Gems?,Gem ,,,,,,,70% Active User (6/8),3 meals,+70XP,2 Completed,+30XP,1 Reviews/ per day,+15~20XP,115~120XP,15~20 Gems,,,Baby,12,60,520,,Baby,12,60,520
Daily XP = 100 XP,1 Gem,,Streak Reward,Gem,,,,70% Active User (6/8),2 meals,+40XP,2 Completed,+30XP,2 Reviews/ per day,+30~40XP,100~110XP,0~10 Gems,,,Child,13,80,600,,Child,13,80,600
Daily XP >100 XP,1XP = 1 Gem,,3 day,,,,,70% Active User (4/6),2 meals,+50XP,0 Completed,+0XP,2 Reviews/ per day,+30~40XP,80~90XP,,,,Child,14,80,680,,Child,14,80,680
Streak Reward,Gem Box,,,,,,,70% Active User (4/6),2 meals,+50XP,1 Completed,+15XP,1 Reviews/ per day,+15~20XP,80~85XP,,,,Child,15,80,760,,Child,15,80,760
XP Reward,XP Accumulation,,,,,,,70% Active User (4/6),2 meals,+50XP,2 Completed,+30XP,0 Reviews/ per day,0XP,80XP,,,,Child,16,80,840,,Child,16,80,840
,,,,,,,,50% Active User (2/4),1 meal,+20XP,1 Completed,+15XP,0 Reviews/ per day,0XP,35XP,,,,Child,17,80,920,,Child,17,80,920
,,,,,,,,50% Active User (2/4),1 meal,+20XP,0 Completed,+0XP,1 Reviews/ per day,+15~20XP,35~40XP,,,,Child,18,80,1000,,Child,18,80,1000
,,,,,,,,55% Active User (5/8),3 meals,+70XP,0 Completed,+0XP,2 Reviews/ per day,+30~40XP,100~110XP,0~10 Gems,,,Child,19,80,1080,,Child,19,80,1080
Reward,Gem,,,,,,,55% Active User (5/8),3 meals,+70XP,1 Completed,+15XP,1 Reviews/ per day,+15~20XP,100~115XP,0~15 Gems,,,Teenager,20,100,1180,,Teenager,20,100,1180
First 3 Makeup Cards,100 Gem ,,,,,,,55% Active User (5/8),3 meals,+70XP,2 Completed,+30XP,0 Reviews/ per day,0XP,100XP,,,,Teenager,21,100,1280,,Teenager,21,100,1280
Make up Cards,300 Gem,,,,,,,55% Active User (5/8),2 meals,+40XP,1 Completed,+15XP,2 Reviews/ per day,+30~40XP,85~95XP,,,,Teenager,22,100,1380,,Teenager,22,100,1380
Next Pet ,XXX Gem,,,,,,,55% Active User (5/8),2 meals,+40XP,2 Completed,+30XP,1 Reviews/ per day,+15~20XP,85~90XP,,,,Teenager,23,100,1480,,Teenager,23,100,1480
Charity Action,XXX Gem,,,,,,,50% Active User (3/6),2 meals,+50XP,1 Completed,+15XP,0 Reviews/ per day,0XP,65XP,,,,Teenager,24,100,1580,,Teenager,24,100,1580
Restaurant Coupons,XXX Gem,,,,,,,50% Active User (3/6),2 meals,+50XP,0 Completed,+0XP,1 Reviews/ per day,+15~20XP,65~70XP,,,,Teenager,25,100,1680,,Teenager,25,100,1680
,,,,,,,,50% Active User (3/6),1 meal,+20XP,2 Completed,+30XP,0 Reviews/ per day,0XP,50XP,,,,Teenager,26,100,1780,,Teenager,26,100,1780
,,,,,,,,50% Active User (3/6),1 meal,+20XP,1 Completed,+15XP,1 Reviews/ per day,+15~20XP,50~55XP,,,,Adult,27,150,1930,,Adult,27,150,1930
,,,,,,,,25% Active User (1/4),1 meal,+20XP,0 Completed,+0XP,0 Reviews/ per day,0XP,20XP,,,,Adult,28,150,2080,,Adult,28,150,2080
,,,,,,,,50% Active User (4/8),3 meals,+70XP,0 Completed,+0XP,1 Reviews/ per day,+15~20XP,85~90XP,,,,Adult,29,150,2230,,Adult,29,150,2230
,,,,,,,,50% Active User (4/8),3 meals,+70XP,1 Completed,+15XP,0 Reviews/ per day,0XP,85XP,,,,Adult,30,150,2380,,Adult,30,150,2380
,,,,,,,,50% Active User (4/8),2 meals,+40XP,2 Completed,+30XP,0 Reviews/ per day,0XP,70XP,,,,,,,,,,,,
,,,,,,,,50% Active User (4/8),2 meals,+40XP,1 Completed,+15XP,1 Reviews/ per day,+15~20XP,70~75XP,,,,User Type,Average XP,Expected Day to Finish First Pet,,,User Type,Average XP,Expected Day to Finish First Pet,
,,,,,,,,50% Active User (4/8),2 meals,+40XP,0 Completed,+0XP,2 Reviews/ per day,+30~40XP,70~80XP,,,,1 meal User ,50 XP,48,,,1 meal User ,50 XP,48,
,,,,,,,,33% Active User (2/6),2 meals,+50XP,0 Completed,+0XP,0 Reviews/ per day,0XP,50XP,,,,2 meal User,80XP,30,,,2 meal User,80XP,30,
,,,,,,,,,,,,,,,,,,,3 meal User,115XP (max 100XP),24,,,3 meal User,115XP (max 100XP),24,
