Source,題目編號,題目類別,Question,選項A,選項B,選項C,正確答案,講解,
ProVeg,,烹飪,哪一種食材可以作為烘焙中的雞蛋替代品？ ,蘋果醬 (Applesauce),普通鹽,食用油,蘋果醬 (Applesauce),蘋果醬是烘焙中很好的雞蛋替代品，因為它能增加水分和少許甜味。它適用於鬆餅、蛋糕和麵包。,
ProVeg,,知識認知,全世界種植的大豆中，有百分之幾是被用來飼養農場動物？,25%,50%,75%,75%,全球約有 75% 的大豆產量被用作牲畜飼料，而不是用於製作植物性產品或給人類食用。,
ProVeg,,營養素類,這三種食材哪一種是優質的 Omega-3 脂肪酸來源？,燕麥,甜菜根,亞麻籽,亞麻籽,亞麻籽、奇亞籽、藻類、核桃、火麻仁，以及芥花油都是最佳的植物性 Omega-3 脂肪酸來源。,
ProVeg,,知識認知,全球養殖了多少隻蛋雞，而它們每年總共生下多少顆雞蛋？,"1,500 萬隻蛋雞，10 億枚雞蛋",5 億隻蛋雞，540 億枚雞蛋,70 億隻蛋雞，1.3 兆枚雞蛋,70 億隻蛋雞，1.3 兆枚雞蛋,蛋雞在大部分時間被置於人工光照下，以提高產蛋率。這些所謂的 ‘高產蛋雞’ 平均每年可產約 300 枚蛋。,
ProVeg,,知識認知,生產 1 公斤的牛肉需要多少公升的水？,約150 公升,"約 1,500 公升","約 15,000 公升","約 15,000 公升","生產 1 公斤牛肉大約需要 15,000 公升水。這意味著 1 公斤牛肉所需的水量相當於洗 240 次澡的用水量。相比之下，每生產 1 公斤的小麥只需要約 900 公升水。",
ProVeg,,營養素類,下列哪一種食物的不飽和脂肪含量最高？,小扁豆,堅果,綠色花椰菜,堅果,其他富含不飽和脂肪的植物包括：種子（如亞麻籽或奇亞籽）。除此之外，植物油（如亞麻油、酪梨油或橄欖油）也是不飽和脂肪的極佳來源。不飽和脂肪對心臟和血管有益。,
ProVeg,,營養素類,哪一種肉類替代品是由發酵的大豆製成的？,豆腐,天貝,麵筋,天貝,天貝是一種傳統的印尼食品，由發酵大豆製成。天貝含有約 20% 的蛋白質，且纖維含量較高，因此非常適合納入健康飲食。,
ProVeg,,知識認知,每年有多少噸海洋生物從海洋中被捕撈？,960 噸,"960,000 噸","96,000,000 噸","96,000,000 噸","每年約有 9,600 萬噸海洋生物被捕撈。其中約 40% 是意外捕獲物。當中許多被丟棄，而有些也被用作水產養殖的飼料。",
ProVeg,,知識認知,生產 1 公斤牛肉需要幾公斤飼料（如大豆或穀物）？,500 克,1.5 公斤,7 公斤,7 公斤,1 公斤動物產品需要大量的植物性原料。例如，生產 1 公斤牛肉需要 7 公斤植物飼料。,
ProVeg,,營養素類,維生素 B12 的科學名稱是什麼？,Riboflavin,Thiamine,Cobalamin,Cobalamin,維生素 B12 是一類被稱為 cobalamin 維生素的總稱。越來越多的植物性食品（如肉類替代品和植物奶）也被添加了 B12。即使在雜食者中，許多人也存在 B12 缺乏的情況。所以建議您補充 B12。,
ProVeg,,知識認知,哪一類動物種沒有以植物為主食的成員？,鯊魚,蛇,恐龍,蛇,流行文化可能更關注貪吃肉類的暴龍，但大多數恐龍是草食動物。確實，也有一種主要以海藻為食的鯊魚——帽頭鯊！然而，到目前為止還沒有發現以植物為食的蛇，不過存在只吃蛋的素食蛇。,
ProVeg,,營養素類,哪道關於豆類的句子是不正確的？,豆類、小扁豆、鷹嘴豆和裂皮豌豆都是豆類。,花生是一種豆類。,豆類含有膽固醇。,豆類、小扁豆、鷹嘴豆和裂皮豌豆都是豆類。,豆類不含膽固醇，並富含維生素和蛋白質，把豆類納入您的飲食中還能穩定血糖水平。,
ProVeg,,,我的伴侶決定以後不給家裡買或準備肉類和乳製品了。我們要怎麼樣才能獲得足夠的蛋白質呢？,趕快出去買牛肉漢堡,不用慌！多樣化的植物性飲食能夠提供充足的蛋白質。,我必須每餐都與豆腐一起食用,不用慌！多樣化的植物性飲食能夠提供充足的蛋白質。,如果確保攝取多種植物性蛋白質並獲得足夠的熱量，植物性飲食也能提供充足的蛋白質。豆類、小扁豆、大豆、穀物、堅果和種子都是重要的蛋白質來源。,
ProVeg,,烹飪,在這些植物奶中，哪一種最適合用來製作綿密起泡的卡布奇諾？,豆奶,杏仁奶,椰奶,豆奶,豆奶含有較高的蛋白質含​​量，所以最容易起泡。有些品牌推出了專為咖啡師設計的豆奶或燕麥奶版本，特別適合用來打奶泡。,
ProVeg,,,有人說素食和植物性飲食很貴。哪種說法才是正確的？,無論您吃什麼，關鍵在於做出正確的選擇。植物性食品不一定就更昂貴。,植物性飲食非常昂貴。,含有肉類和乳製品的飲食比植物性飲食便宜得多。,無論您吃什麼，關鍵在於做出正確的選擇。植物性食品不一定就更昂貴。,人們普遍誤以為植物性飲食比肉類和乳製品的飲食更昂貴。然而，植物性飲食其實往往非常實惠！沒有哪一家嘛檔會把參巴豆腐的價格定得比炸雞腿更高！,
ProVeg,,烹飪,對於初學者來說，哪道馬來西亞菜是既能享受無肉餐又不影響口味的好選擇？,咖哩叻沙,搭配植物性吞拿魚的沙拉,天貝與花生醬,咖哩叻沙,咖哩叻沙的咖哩和各種香料味道濃鬱，即使裡面沒有蝦子或雞肉，也一樣美味！所以，您不會覺得缺少了什麼。,
ProVeg,,營養素類,堅果為什麼那麼健康?,堅果含有健康脂肪，並且富含蛋白質。,堅果富含維生素和礦物質。,以上兩個答案都正確,以上兩個答案都正確,堅果是蛋白質、健康脂肪、維生素和礦物質的重要來源。將堅果納入飲食可以降低膽固醇水平，並有助於提升大腦功能。,
ProVeg,,烹飪,麵筋是一種高蛋白的肉類替代品，質地好且用途廣泛。那麵筋是用什麼食材製成的？,香菇,大豆,小麥蛋白（或斯佩耳特小麥蛋白）,小麥蛋白（或斯佩耳特小麥蛋白）,麵筋易於調味和烹飪，質地與肉類相似，是一種受歡迎的肉類替代品。您可以使用小麥蛋白在家中自製麵筋香腸或熟食片。,
ProVeg,,知識認知,有什麼網站可以找到蔬食餐點選擇？,HappyPig,HappyCow,HappyChicken,HappyCow,透過 HappyCow 網站和應用，您可以找到植物性、素食或素食友善餐廳。只需輸入您所在或要旅行的城市或村莊的名稱，就能獲得餐廳清單。,
ProVeg,,烹飪,營養酵母是什麼？,具有起司風味的失活酵母,用於製作更健康麵包的酵母,用於製作披薩麵團的專用酵母,具有起司風味的失活酵母,營養酵母，也稱為 ‘nooch’，是一種已失活的酵母。這種酵母具有堅果味、起司味和鮮味，非常適合作為起司醬的基礎。您也可以將酵母撒在沙拉或義大利麵上。大多數有機商店或麵包店都有出售這種產品。,
ProVeg,,知識認知,您在超市購買新食譜的食材但有些食材您不太熟悉，不確定是否適合蔬食者。您該注意些什麼？,看包裝上的成分錶,看黃色的 V 標籤,以上兩個答案都正確,以上兩個答案都正確,黃色的 V 標籤上會標示 ‘Vegan’ （純素）或 ‘Vegetarian’ （素食）；這樣您就能立即知道食品是否適合素食者。如果沒有 V 標籤，可以查看成分錶。,
ProVeg,,知識認知,哪一個選項的碳足跡最高？,起司三明治,火腿三明治,鷹嘴豆泥三明治,起司三明治,按碳足跡由高到低排列：起司 ，火腿， 鷹嘴豆泥。您可能沒想到，起司的碳足跡相當大，甚至高於某些類型的肉類。起司的碳腳特別高，是因為生產一公斤起司大約需要 10 公升牛奶。,
ProVeg,,知識認知,哪一種方法是節省用水的最佳方法？,縮短洗澡時間,少澆花,避免食用動物性食品,避免食用動物性食品,每年有 40 億人至少一個月會面臨水資源短缺。實際上，有 5 億人全年都在與這個問題作鬥爭。全球三分之一的淡水資源用於生產動物產品。透過減少動物產品的攝入，您正在將這些淡水資源留給最需要的人。,
ProVeg,,營養素類,自製堅果和棗球不僅美味，而且對身體有益。這種甜點為什麼這麼健康呢？,堅果棗球富含了健康 E 指數,堅果棗球不含糖,核桃和腰果提供重要的營養素,核桃和腰果提供重要的營養素,核桃和富含鎂的腰果是糖食的健康替代品。將做好的堅果棗球滾上一層椰絲和芝麻，也能增加健康脂肪和纖維。,
ProVeg,,知識認知,哪一個選項對環境的正面影響最大？,用新的超高效家用電器取代現有電器,每週設定兩天（或更多）的 ‘無肉日’,為房屋外牆加裝保溫層並安裝雙層玻璃窗,每週設定兩天（或更多）的 ‘無肉日’,大量研究表明，高植物性食物、低動物產品的飲食對氣候的破壞較小。例如，在美國，用豆類取代牛肉可以釋放 42% 的農田，完成 2020 年氣候目標的 75%，並提供充足的膳食蛋白質。因此，您參與這項挑戰會產生顯著影響！,
ProVeg,,知識認知,關於全球動物農業，哪些說法是正確的？,動物農業至少佔所有與食物相關的溫室氣體排放的一半,動物農業不會影響其他國家的淡水供應,動物農業不會影響其他國家植物和動物的生存,動物農業至少佔所有與食物相關的溫室氣體排放的一半,根據聯合國糧農組織（FAO）的數據，養殖動物佔全球溫室氣體排放總量的 14.5%。這至少佔與食物相關的溫室氣體排放的一半，因為全球食品系統貢獻了多達 30% 的人類活動排放。當您減少肉類和乳製品的攝取時，您將會對淡水供應和生物多樣性產生正面影響！,
ProVeg,,營養素類,關於少吃肉、多吃全穀物、豆類、蔬菜和水果，有哪些說法是正確的？,它可以降低心血管疾病的風險,它有助於預防肥胖、2 型糖尿病和高血壓,以上的答案都正確,以上的答案都正確,這些說法得到了美國心臟協會的支持。採用更多植物性飲食，會讓您的健康將顯著提升！,
ProVeg,,營養素類,幼兒的健康是否必須依賴肉類和乳製品？哪些說法是正確的？,為嬰兒、幼兒和學齡前兒童的飲食補充鮮牛奶是必要的。,幼兒和青少年必須定期食用肉類。,少肉或無肉無奶的均衡飲食對任何年齡的人都是健康的。,少肉或無肉無奶的均衡飲食對任何年齡的人都是健康的。,均衡飲食意味著攝取了所有重要的營養素；無論是否含有肉類和/或乳製品，都是可以實現的。,
ProVeg,,知識認知,哪些關於職業運動員的敘述是正確的？,頂級運動員必須大量食用紅肉來增加肌肉。,羅馬角鬥士——古代的精英運動員——主要是素食者。,純素飲食不適合參加世界頂級比賽者。,羅馬角鬥士——古代的精英運動員——主要是素食者。,科學研究現在發現，羅馬角鬥士很可能主要以種子、堅果和豆類為食，而不食用肉類。,
ProVeg,,名人啟發類,"著名運動員 Carl Lewis, Scott Jurek, Martina Navratilova 和 Patrik Baboumian 有什麼共同點?",他們都食用植物性飲食,他們都是果食者,他們都是彈性素食者,他們都食用植物性飲食,他們都認為植物性飲食對他們的運動表現產生了正面的影響。,
ProVeg,,知識認知,下列哪一種溫室氣體由反芻動物（如牛，羊，鹿等等）大量排放？,二氧化硫,甲烷, 氧氣,甲烷,反芻動物（如牛、羊、鹿）在消化時會排放甲烷，是因為它們的胃結構和消化方式特別。它們有四個胃室，其中最大的叫瘤胃。瘤胃裡有大量微生物分解草、樹葉等難消化纖維，在「發酵」過程中會產生包括甲烷（CH₄）在內的氣體。大部分甲烷會透過打嗝排到空氣中，而不是經由腸道排出。由於甲烷是強效溫室氣體，反芻動物越多，排放量越高，也會加劇氣候暖化。,
ProVeg,,營養素類,採用植物性飲食時，如何確保不會缺乏必需胺基酸？,在一餐中搭配豆類和穀類,每天早上食用一碗水果,有些胺基酸只存在於動物性食物中，所以無法攝取足夠胺基酸。,在一餐中搭配豆類和穀類,如果您食用多種不同的植物食物，就能從植物來源中獲得所有必需胺基酸。一個簡單的方法是將豆類（如豆子、豌豆）和穀物（如米、麥）搭配食用，這樣一餐中就能獲得全部必需胺基酸。其實比聽起來更容易：扁豆配飯的咖哩、全麥豆捲餅或花生醬三明治，都屬於豆類與穀物的組合。,
ProVeg,,,有什麼網站可以找新的蔬菜料理靈感，同時還有精美照片及新內容？,Linkedin,Instagram,Twitter,Instagram,每天都有大量照片發佈在 Instagram 上，尤其是關於食物的照片！因此，Instagram 是獲取食物靈感的絕佳平台！您也可以關注 @proveg.inter，以獲取有關 ProVeg 和蔬菜食物挑戰的最新動態。,
ProVeg,,知識認知,ProVeg 的願景是什麼?,讓每個人都學會烹飪美味的蔬菜料理。,在 2040 年前，實現減少全球 50% 的動物性食品,在 2030 年前，讓每個人都完全採用 100% 植物性飲食。,在 2040 年前，實現減少全球 50% 的動物性食品,ProVeg 致力於創造一個世界，讓美味又健康的飲食惠及人類、動物和地球。目標是，在 2040 年前，實現減少全球 50% 的動物性食品，而由植物性食品取代。,
ProVeg,,,您因為吃更少或不再吃肉，朋友和家人可能會擔心您是否攝取了足夠的蛋白質。您可以說些什麼來安慰他們呢？,不用擔心！我有吃很多富含高量蛋白質的番茄醬！,我對蔬食有著充分的了解，知道如何獲得植物性蛋白質和維生素。,這是我的個人選擇，您並不需要為我的健康擔憂。,我對蔬食有著充分的了解，知道如何獲得植物性蛋白質和維生素。,選項 a 和 c 肯定無法讓朋友和家人放心；如果您自己有充分的了解，就可以安慰您周圍的每個人。,
ProVeg,,,您想好好犒賞自己，到高級餐廳用餐。您正在參加蔬食挑戰，那有哪些高檔餐廳能為您提供植物性餐點呢？,選擇不多。高檔餐廳仍以傳統菜餚為主，肉類或魚類通常是菜餚的主要成分，而蔬菜食品則常用起司或雞蛋。,用餐體驗可能會讓您感到驚喜！有抱負的廚師會把滿足您的需求當作一種挑戰，但提前告知廚師會非常有幫助！,高檔餐飲業已經完全適應了越來越多消費者減少肉類或乳製品攝取的需求。,用餐體驗可能會讓您感到驚喜！有抱負的廚師會把滿足您的需求當作一種挑戰，但提前告知廚師會非常有幫助！,越來越多的高檔餐廳有提供美味的蔬菜和植物性菜餚！如果菜單上沒有提到這些，不妨詢問！,
ProVeg,,,哪一個選項是正確的?,作為彈性素食者或素食者，您仍然可以在超市或麵包店購買並食用甜甜圈。,作為純素食者，您需要提前尋找出售植物性甜甜圈的超市和麵包店。,以上的兩個選項都正確,以上的兩個選項都正確,您在商店購買的甜甜圈通常含有牛奶和雞蛋。但植物性替代品在超市和麵包店也越來越普遍！,
ProVeg,,知識認知,畜牧業導致的森林砍伐主要用途是什麼？ ,建造城市, 建造機場,開發農地種植飼料,開發農地種植飼料,畜牧業需要大量飼料，如大豆和玉米，因此砍伐森林來開墾農地種植這些飼料作物。這樣才能養更多牛、羊、雞等牲畜，滿足肉類和乳製品生產的需求。,
ProVeg,,烹飪,有些世界美食史上主要以蔬食為主。關於以下世界美食，哪一個說法是正確的？,西方美食：以法國和義大利菜為基礎，其特點是少用肉類、魚類或乳製品，蔬菜在菜餚中佔主要部分。,亞洲美食：起初肉類攝取較少，使用大量香草和蔬菜，而大多數亞洲人幾乎不食用乳製品。,南美洲美食的特點是使用多種豆類，而肉類攝取較少。,亞洲美食：起初肉類攝取較少，使用大量香草和蔬菜，而大多數亞洲人幾乎不食用乳製品。,儘管種類繁多，亞洲美食確實有許多蔬菜菜餚，其中印度毫無疑問是世界第一。,
ProVeg,,烹飪,外面陽光明媚，非常適合燒烤。作為純素食者或素食者，您會在烤架上烤些什麼？,烤馬鈴薯、玉米和櫛瓜,各種植物性肉類,不燒烤了，把烤架賣掉,各種植物性肉類,越來越多美味的植物性肉類被加入到超市貨架上。燒烤聚會是展示（並享用）美味肉類替代品的絕佳機會。,
ProVeg,,烹飪,聖誕節到了，家人都來拜訪。煮什麼好？,根據祖母的家傳食譜烹調的傳統火雞。您可以為自己做一個三明治。,看看 ProVeg 的食譜指南中眾多建議，要不試試看做美味的飯碗？,不承擔這個責任，與家人解釋自己今年心情不好，無法準備餐點。,看看 ProVeg 的食譜指南中眾多建議，要不試試看做美味的飯碗？,當然，這完全取決於您，但用純植物食材慶祝聖誕節，也是全世界每個人的盛宴！您也可以看看,
ProVeg,,營養素類,將動物性奶換成植物性奶，有沒有充分的理由呢？,沒有，不，牛奶是天然產物，對人類健康是必要的。,沒有，只要動物得到關愛和負責任的對待，就沒有什麼好擔心的。,有的，乳製品的消費會導致環境破壞和動物受苦，並且對我們的健康沒有益處。,有的，乳製品的消費會導致環境破壞和動物受苦，並且對我們的健康沒有益處。,乳製品消費是環境惡化和污染的主要原因之一。乳製品生產中有許多行業標準做法，給動物帶來難以衡量的壓力，研究顯示，與植物性替代品相比，乳製品並沒有帶來更優越的健康益處。,
ProVeg,,烹飪,我想為我的白醬（Bechamel）增添起司味，但不使用動物性起司。我該怎麼辦？,在醬料中加入植物性乳酪,放棄吧，沒有合適的替代品。,加入幾匙營養酵母即可。,加入幾匙營養酵母即可。,將植物性起司融入其他食譜中並不總是成功，因為起司的結構不同。營養酵母由失活的酵母細胞製成，通常能很好地為菜餚增添起司風味，大多數超市和有機商店都能買到。,
ProVeg,,烹飪,我的豆腐薑黃炒蛋嘗起來不像雞蛋。我該怎麼辦？,加入大量新鮮香草，雖然味道不會像雞蛋，但會非常美味。,加入蛋粉替代品。,加入黑鹽，也叫 Kala Namak。,加入黑鹽，也叫 Kala Namak。,黑鹽，也叫 Kala Namak，是一種火山鹽，廣泛用於亞洲菜餚。由於含硫量高，黑鹽具有類似雞蛋的味道。,
ProVeg,,知識認知,當您改變飲食習慣，減少（或不吃）肉類和乳製品時，大豆通常是許多替代品的重要來源。大豆有哪些好處呢？,大豆含有 37% 的植物性蛋白質，並且富含多種有價值的營養素。,大豆並不是致癌物，甚至可能降低攝護腺癌風險，並改善乳癌的預後。,以上兩個選項都正確,以上兩個選項都正確,一些以大豆為基礎的替代品包括：豆奶、豆奶優格、豆腐、天貝、味噌以及各種大豆製素肉。大豆可以是均衡飲食中的重要組成部分，甚至有助於改善健康。,
ProVeg,,知識認知,全球大豆產量非常巨大；尤其是在南美洲，為了種植大豆，大片熱帶雨林被砍伐。為什麼會發生這種情況呢？,彈性素食者、素食者和純素食者的數量正在指數式增長。,為了動物飼料產業而種植大豆（佔所有大豆種植的 75%）是一門利潤豐厚的生意。,供人類食用的歐洲大豆價格過高。,為了動物飼料產業而種植大豆（佔所有大豆種植的 75%）是一門利潤豐厚的生意。,動物養殖，以及對乳牛所要求的高產量，都需要大量以大豆粕形式提供的濃縮飼料；這些大豆通常也是基因改造（GMO）的。,
ProVeg,,知識認知,您認為您所在的國家，大約有多少種不同類型的純素起司可供選擇？,植物性乳酪的發展前所未有，因此等我說完這句話時，統計數量就已經過時了。,有高達 15 種選擇,有少過 4 種選擇,植物性乳酪的發展前所未有，因此等我說完這句話時，統計數量就已經過時了。,現在生產的純素起司種類多到幾乎很難全部統計。製作純素起司的過程與製作牛奶起司相似：使用細菌發酵各種植物性油脂，並結合其他配料，以獲得所需的結構、氣味、味道和質地表現。,
ProVeg,,知識認知,如果您減少動物性食物的攝入，可以拯救許多動物的生命。那麼，吃更少的動物性食物是否也能拯救人類的生命呢？,不能救人命，只能救動物的生命,是的，能救人與動物的生命,不能，這兩方面無所關係,是的，能救人與動物的生命,如果您減少肉類攝入，對人類生命也會產生影響！有些人因營養不良而死亡，是因為食物被用於養殖業，而不是用來養活他們；每年約有 **770 萬人死於飢餓**。此外，每年還有約 **70 萬人因抗生素抗藥性細菌引發的傳染病死亡**，這與飼養動物時使用的抗生素有關。,
ProVeg,,知識認知,您總用水量的大約三分之二來自您所吃的食物，而不是來自家庭用水，（如洗澡）。堅持 31 天植物性飲食，您能節省多少水呢？,"39,000 公升水","3,900 公升水",390 公升水,"39,000 公升水","畢竟，植物生長需要水，而肉類養殖的動物為了生長也需要吃大量的植物。在工廠加工動物性食品時，通常還需要大量水。例如，生產 1 公斤牛肉至少需要 **15,000 公升水**！",
ProVeg,,知識認知,畜牧業是世界上最大的污染源之一。除了其他形式的污染，它產生的溫室氣體排放量 **超過所有汽車、卡車、公車、飛機和火車的總和**！堅持 31 天吃蔬菜，您可以避免 **19.5 公斤二氧化碳排放**。這可以與什麼相比？,少開 16.2 公里的車。,少開 162 公里的車。,少開 1.620 公里的車,少開 162 公里的車。,一輛新車平均每行駛一公里會排放 **120 克二氧化碳**。,
慈濟,,知識認知,全世界生產的玉米，請問超過多少以上用來養牛等牲畜？,1/4,1/5,1/3,1/4,,
慈濟,,營養素類,哪一種豆類含最高的蛋白質？,扁豆,黃豆,鷹嘴豆,黃豆,"黃豆 36.5公克/100公克
扁豆lentil 24.6公克/100公克
鷹嘴豆chickpea 20.5公克/100公克",https://www.nutritionadvance.com/highest-protein-legumes/
慈濟,,營養素類,哪個蔬菜含高量的蛋白質？,香菇、秋葵,菠菜、玉蜀黍,羽衣甘藍,菠菜、玉蜀黍,"菠菜 5.35公克/每杯
玉蜀黍 4.21公克/每杯
香菇 3.35公克/每杯
秋葵 3.0公克/每杯
羽衣甘藍2.9公克/每杯
花椰菜2.6公克/每杯",https://www.greenthickies.com/high-protein-vegetables/
慈濟,,營養素類,關於素食者補充維生素 D，下列何者是正確的做法？,素食者完全無法從飲食或補充品中獲得維生素 D,適度日曬、攝取曬乾香菇，並補充植物來源的維生素 D3，是可行的方法,維生素 D 只能從魚類與蛋黃中獲得，素食者容易無法補充,適度日曬、攝取曬乾香菇，並補充植物來源的維生素 D3，是可行的方法,"為什麼會缺乏維生素 D？
維生素D的食物來源多為魚類、蛋黃、肝臟。植物來源極少（僅曬過太陽的乾香菇含有少量 D2，但效力不如動物性的 D3）。加上現代人防曬充足，單靠日曬往往不足。 
缺乏症狀： 骨骼軟化、容易骨折、免疫系統失調、心情低落。 
補救對策： 每天日曬 15-20 分鐘（避開正午，四肢裸露）。 攝取經紫外線照射的乾香菇。 服用素食來源的維生素 D3 補充劑（通常萃取自藻類或地衣）。",https://uptogo.com.tw/%E5%81%A5%E5%BA%B7/%E5%81%A5%E5%BA%B7%E9%A3%B2%E9%A3%9F/%E7%B4%A0%E9%A3%9F%E8%80%85%E5%AE%B9%E6%98%93%E7%BC%BA%E4%BB%80%E9%BA%BC%EF%BC%9F/
慈濟,,營養素類,一般人透過深海魚攝取Omega-3 脂肪酸以抗皮膚乾燥過敏、視力退化、認知功能下降、慢性發炎等。請問素食者要如何補充 Omega-3 脂肪酸？,亞麻籽、核桃、奇亞籽可提供植物性 Omega-3（ALA）,藻油（微藻萃取）可直接提供 DHA／EPA，適合素食者補充,以上兩個選項都正確,以上兩個選項都正確,"Omega-3 脂肪酸
一般人透過深海魚攝取 EPA 和 DHA。素食者雖然可吃亞麻籽油、核桃攝取 ALA（植物性 Omega-3），但人體將 ALA 轉化為 EPA 和 DHA 的效率極差（轉化率往往低於 5%）。 補救對策： 日常多食用亞麻籽粉（現磨更好）、核桃、 奇亞籽。 藻油 (Algae Oil)： 對於孕婦、兒童或年長素食者，直接補充含有 DHA/EPA 的微藻萃取油是最有效率的方式
缺乏症狀： 皮膚乾燥過敏、視力退化、認知功能下降、慢性發炎。 ",如上
慈濟,,營養素類,缺乏蛋白質會導致肌肉流失（肌少症風險）、傷口癒合慢、頭髮稀疏易斷、水腫等。我該如何做以獲取完整的蛋白質？,只有豆漿或豆腐才能提供素食者足夠的完整蛋白質,將豆類與全穀類搭配食用，可互補胺基酸，在體內形成完整蛋白質,素食者必須每一餐都吃到動物性蛋白，才能攝取完整蛋白質,將豆類與全穀類搭配食用，可互補胺基酸，在體內形成完整蛋白質,蛋白質互補法： 利用「豆類（離胺酸）」搭配「全穀類（甲硫胺酸）」一起吃，例如：黃豆飯、鷹嘴豆泥配全麥麵包，就能在體內組合成完整的蛋白質。,如上
